epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.69854,2.38196,5.03908,1.56759,0.00083,0.07692,0.07539,0.02273,1.9841,4.45251,1.90376,4e-05,4e-05,4e-05
2,12.1868,1.94646,4.14006,1.40992,0.00083,0.07692,0.07539,0.02281,1.63748,4.2681,1.56263,9.802e-05,9.802e-05,9.802e-05
3,17.1119,1.40571,3.81489,1.06246,0.0025,0.23077,0.03951,0.00465,1.51723,4.19187,1.39909,0.000153664,0.000153664,0.000153664
4,22.4629,1.51761,3.49363,1.02926,0.00583,0.53846,0.01645,0.00804,1.32537,3.97048,1.1646,0.000206932,0.000206932,0.000206932
