epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,7378.28,1.24905,1.42971,1.23392,0.93675,0.91701,0.93175,0.54116,1.39121,0.95416,1.29488,0.00999622,0.00333207,0.00999622,0.00333207,0.00999622,0.00333207,0.00999622,0.00333207
2,84513.1,1.26718,0.83769,1.25012,0.94306,0.91665,0.94216,0.57888,1.36132,0.70583,1.32182,0.0196003,0.00653343,0.0196003,0.00653343,0.0196003,0.00653343,0.0196003,0.00653343
